id,class_name
1,Primary Dryland Forest
2,Secondary Dryland Forest
3,Primary Mangrove Forest
4,Secondary Mangrove Forest
5,Primary Swamp Forest
6,Secondary Swamp Forest
7,Plantation Forest
8,Rubber Monoculture
9,Oil palm Monoculture
10,Cacao Monoculture
11,Coconut monoculture
12,Other Monoculture
13,Other Cropland
14,Coffee agroforestry
15,Rubber agroforestry
16,Mixed/home garden
17,Paddy field
18,Grass or Savanna
19,Shrub
20,Settlement
21,Cleared Land
22,Mining area
23,Waterbody
24,Fish pond
