class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
13,-3.224919982,104.6092934,Other Cropland,0,14.0,0,0,0.930478582,1,0.0,0,0,0,0,0,11,0,16,0,0,0,0,0,,,
9,-3.697477675,104.3900394,Oil palm monoculture,1,70.0,14,0,0.0,0,0.0,0,0,0,0,0,12,0,38,4,1,0,1,0,,,
20,-3.552891324,104.3363563,Settlement,0,14.0,0,0,0.0,0,0.9778,1,0,0,0,0,13,1,28,0,0,1,0,0,,,
6,-3.660074736,104.5554453,Secondary Swamp Forest,0,32.0,0,0,0.465043562,1,0.0,0,0,0,20,0,11,0,17,0,0,0,0,0,,,
15,-3.553029556,104.3270234,Rubber agroforestry,1,49.0,10,0,0.0,0,0.0,0,0,0,0,0,12,0,33,18,1,0,0,1,,,1.0
9,-3.709731285,104.383373,Oil palm monoculture,1,56.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,27,5,1,0,1,0,,,
21,-3.443460525,104.491863,Cleared Land,0,19.0,3,1,0.0,0,0.0,0,1,0,0,0,11,0,37,0,0,0,0,1,,,
8,-3.6302924,104.499546,Rubber monoculture,1,44.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,36,5,0,0,0,1,,,0.0
6,-3.537494048,104.545332,Secondary Swamp Forest,0,30.0,5,0,0.718907808,0,0.0,0,0,0,11,0,12,0,14,0,0,0,0,0,,,
20,-3.242778682,104.6664858,Settlement,0,8.0,0,0,0.0,0,0.9603,1,0,0,0,0,23,1,15,0,0,2,0,0,,,
13,-3.372480554,104.6623701,Other Cropland,0,7.0,0,0,0.921988096,1,0.0,0,1,0,0,0,11,0,20,0,0,0,0,0,,,
21,-3.429222615,104.601753,Cleared Land,0,6.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,19,0,1,0,0,0,,,
20,-3.3966578,104.577063,Settlement,0,5.0,0,0,0.0,0,0.9607,1,0,0,0,0,23,1,14,0,0,2,0,0,,,
17,-3.064775827,104.7803044,Paddy Field,0,11.0,0,0,0.958841302,1,0.0,0,0,0,24,0,21,1,4,0,1,0,0,0,,,
2,-3.723982572,104.5756227,Secondary Dryland Forest,0,35.0,4,1,0.0,0,0.0,0,0,0,0,0,11,0,25,0,0,0,0,1,,,
8,-3.716905979,104.5575901,Rubber monoculture,0,14.0,0,0,0.875626113,0,0.704698457,1,0,0,0,0,12,1,17,0,0,1,0,0,,,0.0
20,-3.350853914,104.7865025,Settlement,0,10.0,0,0,0.0,0,0.9673,1,0,0,0,0,23,1,14,0,0,2,0,0,,,
21,-3.38599163,104.6892584,Cleared Land,0,11.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,17,0,1,0,0,0,,,
8,-3.378495881,104.7527828,Rubber monoculture,0,32.0,5,0,0.0,0,0.713456179,0,0,0,0,0,12,1,19,0,0,1,0,0,,,0.0
23,-3.632414932,104.5726351,Waterbody,0,18.0,0,0,0.0,1,0.0,0,0,0,25,0,11,0,21,0,0,0,0,0,,,
9,-3.528807719,104.3591467,Oil palm monoculture,1,53.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,36,0,1,0,1,0,,,
15,-3.374264195,104.7605862,Rubber agroforestry,1,36.0,9,0,0.0,0,0.0,0,0,0,0,0,11,0,15,22,1,0,0,1,,,1.0
20,-3.312733059,104.6752613,Settlement,0,12.0,0,0,0.0,0,0.9218,1,0,0,0,0,21,1,14,0,0,1,0,0,,,
15,-3.212572731,104.5735894,Rubber agroforestry,1,25.0,6,0,0.0,0,0.0,0,0,0,0,0,11,0,25,0,1,0,0,1,,,1.0
13,-3.357052064,104.6978645,Other Cropland,0,9.0,0,0,0.944732312,1,0.403708592,0,0,0,0,0,11,1,21,0,1,1,0,0,,,
9,-3.125669311,104.6345096,Oil palm monoculture,1,33.0,9,0,0.0,0,0.0,0,0,0,0,0,11,0,9,8,1,0,1,0,,,
